No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes
50,Marketplace (P2P),"marketplace, p2p",#0D9488,#5EEAD4,#EA580C,#F0FDFA,#134E4A,#99F6E4,Teal trust + warm orange deal-closing CTA
51,Logistics/Delivery,"logistics, delivery",#2563EB,#93C5FD,#EA580C,#EFF6FF,#1E3A8A,#BFDBFE,Tracking blue + orange in-transit + route accent
52,Agriculture/Farm Tech,"agriculture, farm, tech",#4A7C23,#86D44A,#92400E,#F7FEF0,#1A3409,#C6E8A0,Earth green (#4A7C23) + brown soil + growth feel
53,Construction/Architecture,"construction, architecture",#4A4A4A,#9CA3AF,#EA580C,#F8F8F8,#1C1C1C,#D4D4D4,Steel grey + safety orange + blueprint structure
54,Automotive/Car Dealership,"automotive, car, dealership",#1E293B,#64748B,#DC2626,#F8FAFC,#0F172A,#CBD5E1,Metallic slate + sport red CTA + showroom clean
55,Photography Studio,"photography, studio",#171717,#525252,#F5F5F5,#FAFAFA,#0A0A0A,#E5E5E5,Black + white minimal + high-contrast gallery
56,Coworking Space,"coworking, space",#B45309,#FCD34D,#0891B2,#FFFBEB,#78350F,#FDE68A,Warm wood amber + energetic teal community accent
57,Cleaning Service,"cleaning, service",#0891B2,#67E8F9,#059669,#ECFEFF,#155E75,#A5F3FC,Fresh blue (#00B4D8) + clean green + sparkling feel
58,Home Services (Plumber/Electrician),"home, services, plumber, electrician",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Trust Blue + Safety Orange + Professional grey
59,Childcare/Daycare,"childcare, daycare",#F472B6,#FBCFE8,#0D9488,#FDF2F8,#9D174D,#FCE7F3,Playful pink pastels + safe teal + warm nurturing
60,Senior Care/Elderly,"senior, care, elderly",#1E40AF,#93C5FD,#B45309,#EFF6FF,#1E3A8A,#BFDBFE,Calm trustworthy blue + warm amber accent + readable
61,Medical Clinic,"medical, clinic",#0077B6,#90E0EF,#059669,#F0F9FF,#023E58,#BAE6FD,Medical blue (#0077B6) + calm green trust + clinical white
62,Pharmacy/Drug Store,"pharmacy, drug, store",#16A34A,#86EFAC,#0284C7,#F0FDF4,#14532D,#BBF7D0,Pharmacy green + trust blue + clean clinical white
63,Dental Practice,"dental, practice",#0284C7,#7DD3FC,#FACC15,#F0F9FF,#0C4A6E,#BAE6FD,Fresh blue smile + bright yellow accent + clean white
64,Veterinary Clinic,"veterinary, clinic",#0D9488,#5EEAD4,#EA580C,#F0FDFA,#134E4A,#99F6E4,Caring teal + warm pet-friendly orange accent
65,Florist/Plant Shop,"florist, plant, shop",#16A34A,#86EFAC,#DB2777,#F0FDF4,#14532D,#BBF7D0,Natural green + floral pink accent + earth base
66,Bakery/Cafe,"bakery, cafe",#92400E,#D97706,#DC2626,#FFFBEB,#78350F,#FDE68A,Warm brown + cream gold + appetizing red accent
67,Coffee Shop,"coffee, shop",#6F4E37,#A8876A,#CA8A04,#FAF5EF,#3E2723,#E0D0C0,Coffee brown (#6F4E37) + cream + warm gold accent
68,Brewery/Winery,"brewery, winery",#7F1D1D,#DC2626,#CA8A04,#FEF2F2,#450A0A,#FECACA,Deep burgundy + craft gold + amber aesthetic
69,Airline,airline,#0284C7,#7DD3FC,#E11D48,#F0F9FF,#0C4A6E,#BAE6FD,Sky blue (#0284C7) + cloud white + red CTA accent
70,News/Media Platform,"news, media, platform",#DC2626,#F87171,#1E293B,#FFFFFF,#0F172A,#E5E7EB,Breaking-news red + high contrast + editorial clean
71,Magazine/Blog,"magazine, blog",#BE185D,#F9A8D4,#0F172A,#FFFBFB,#831843,#FCE7F3,Editorial rose + clean white + sophisticated dark accent
72,Freelancer Platform,"freelancer, platform",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional Blue + Success Green + Neutral
73,Consulting Firm,"consulting, firm",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Navy + Gold + Professional grey
74,Marketing Agency,"marketing, agency",#EC4899,#F472B6,#06B6D4,#FDF2F8,#831843,#FBCFE8,Bold brand colors + Creative freedom
75,Event Management,"event, management",#E11D48,#FB7185,#B45309,#FFF1F2,#881337,#FECDD3,Coral energy + deep amber excitement accent
76,Conference/Webinar Platform,"conference, webinar, platform",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional Blue + Video accent + Brand
77,Membership/Community,"membership, community",#0D9488,#5EEAD4,#D97706,#F0FDFA,#134E4A,#99F6E4,Warm teal community + amber engagement accent
78,Newsletter Platform,"newsletter, platform",#1E40AF,#93C5FD,#DC2626,#EFF6FF,#1E3A8A,#BFDBFE,Editorial blue + red subscribe CTA accent
79,Digital Products/Downloads,"digital, products, downloads",#0891B2,#67E8F9,#EA580C,#ECFEFF,#155E75,#A5F3FC,Digital cyan + warm download CTA accent
80,Church/Religious Organization,"church, religious, organization",#92400E,#D97706,#1E3A8A,#FFFBEB,#78350F,#FDE68A,Warm gold + deep blue stained-glass accent
81,Sports Team/Club,"sports, team, club",#DC2626,#F87171,#15803D,#FEF2F2,#7F1D1D,#FECACA,Energetic red team spirit + victory green accent
82,Museum/Gallery,"museum, gallery",#292524,#78716C,#CA8A04,#FAF9F6,#1C1917,#E7E5E4,Neutral stone gallery + gold exhibition accent
83,Theater/Cinema,"theater, cinema",#1C1917,#44403C,#CA8A04,#0F0F0F,#FAFAF9,#292524,Dark curtain + spotlight gold accent + dramatic feel
84,Language Learning App,"language, learning, app",#0D9488,#2DD4BF,#EA580C,#F0FDFA,#134E4A,#5EEAD4,Playful colors + Progress indicators + Country flags
85,Coding Bootcamp,"coding, bootcamp",#16A34A,#4ADE80,#0EA5E9,#0F172A,#E2E8F0,#1E293B,Terminal green code + sky-blue brand accent
86,Cybersecurity Platform,"cybersecurity, security, cyber, hacker",#00FF41,#0D0D0D,#00FF41,#000000,#E0E0E0,#1F1F1F,Matrix Green + Deep Black + Terminal feel
87,Developer Tool / IDE,"developer, tool, ide, code, dev",#3B82F6,#1E293B,#2563EB,#0F172A,#F1F5F9,#334155,Dark syntax theme colors + Blue focus
88,Biotech / Life Sciences,"biotech, science, biology, medical",#0EA5E9,#0284C7,#10B981,#F8FAFC,#0F172A,#E2E8F0,Sterile White + DNA Blue + Life Green
89,Space Tech / Aerospace,"space, aerospace, tech, futuristic",#FFFFFF,#94A3B8,#3B82F6,#0B0B10,#F8FAFC,#1E293B,Deep Space Black + Star White + Metallic
90,Architecture / Interior,"architecture, interior, design, luxury",#171717,#404040,#D4AF37,#FFFFFF,#171717,#E5E5E5,Monochrome + Gold Accent + High Imagery
91,Quantum Computing,"quantum, qubit, tech",#00FFFF,#7B61FF,#FF00FF,#050510,#E0E0FF,#333344,Interference patterns + Neon + Deep Dark
92,Biohacking / Longevity,"bio, health, science",#FF4D4D,#0D9488,#00E676,#F5F5F7,#1C1C1E,#E5E5EA,Biological red + true teal + clinical white
93,Autonomous Systems,"drone, robot, fleet",#00FF41,#008F11,#FF3333,#0D1117,#E6EDF3,#30363D,Terminal Green + Tactical Dark
94,Generative AI Art,"art, gen-ai, creative",#111111,#333333,#FFFFFF,#FAFAFA,#000000,#E5E5E5,Canvas Neutral + High Contrast
95,Spatial / Vision OS,"spatial, glass, vision",#FFFFFF,#E5E5E5,#007AFF,#888888,#000000,#FFFFFF,Glass opacity 20% + System Blue
96,Climate Tech,"climate, green, energy",#2E8B57,#87CEEB,#FFD700,#F0FFF4,#1A3320,#C6E6C6,Nature Green + Solar Yellow + Air Blue
